,Mean_H,Mean_S,Mean_V,duration,viewCount,paidBadge,bday,subs,gender,prettyScale,publishedAt,videoTitle,tag,viewCount_log,face_area_ratio,face_detect,Smile_Value,text_rate1,minmax_text_length,text_present,tempo,f0_mean,f0_var
tag,0.05245455934370759,-0.07812400079291969,0.06451366059098412,0.08834813512300263,0.0038625462821476747,-0.1289897250652455,0.10763597020257723,-0.06830972481851344,0.06725931076676238,0.12248012426812671,0.20032706684604906,0.05626025305552662,1.0,-0.09172747426964721,0.049472932408444664,0.0012542426503065367,-0.07053083273581785,0.0619079353119665,0.07131871394742195,-0.03498516280265463,-0.027047520345248155,0.04144818056873766,0.026561920867538193
viewCount_log,0.04074761131824321,0.12358346521394463,-0.09730231664759992,0.019976794409611635,0.4085091609838398,0.05621463785388259,-0.0752316441079453,0.6134549781519374,0.05407945016207536,0.028825699074172484,0.13119527119377522,0.015318088871117689,-0.09172747426964721,1.0,0.07686948489336386,0.08553232517214261,0.062259084028248056,-0.08046584215158886,-0.1160486039570321,-0.11279847218738534,0.1080065698789528,0.011535642340737414,0.023763973813624786
face_area_ratio,-0.13482220994717917,0.1445023790671779,0.1103373342412154,0.0029404751856979433,0.045548853689741764,-0.038031661529924536,0.014448926840408173,0.09945674144804756,0.053167864839831463,-0.027539627378640536,-0.07399436543617968,-0.03692977696183671,0.049472932408444664,0.07686948489336386,1.0,0.4256349749404965,-0.14078309355807783,-0.10724655333957893,-0.0422807765999856,-0.11243408781709562,-0.02109999566280461,-0.03730075575007231,-0.05210300885873756
face_detect,0.03100992090981917,-0.00806340992685316,-0.24073809500335308,0.07746949329547713,0.030902179558198583,0.10209208187541731,-0.060614679303927374,0.1560477304730856,-0.1021959432254092,0.16205295459821303,-0.2174837394397671,-0.041497951484310784,0.0012542426503065367,0.08553232517214261,0.4256349749404965,1.0,0.1872078807954884,-0.06036153539055039,-0.1165460911550954,-0.021248251807524914,0.07312246077545978,-0.06570399905306532,0.02128626588733883
Smile_Value,0.08602071878445076,-0.03307360388155706,-0.10104826849025486,0.10249400915591653,0.01175660041026709,0.1487356154508444,-0.10774439773580115,0.08201292594163696,0.027334383307883275,-0.020320019616521544,-0.09274369226021627,0.07080183693395938,-0.07053083273581785,0.062259084028248056,-0.14078309355807783,0.1872078807954884,1.0,0.024828370978962084,-0.045785324922161016,0.07162916783577174,0.07381884740371054,-0.02847647637725813,0.02366331002285751
text_rate1,0.07170258056163016,-0.17617610837459438,0.037272151867338156,0.1266899404886852,-0.07497663025876126,0.07831244471928515,-0.026195021871190056,-0.06773942580934487,-0.03925522305004024,-0.00783179544915099,-0.055186624702797366,0.022353075740601202,0.0619079353119665,-0.08046584215158886,-0.10724655333957893,-0.06036153539055039,0.024828370978962084,1.0,0.05054410125066126,0.46160344592949804,0.002485310571629392,-0.07730281792142471,0.01620412775650219
minmax_text_length,-0.012314313331197322,0.008033922890350209,0.12278269957587246,-0.01055428326740933,-0.03672379262998263,-0.07093375749141288,0.03154420102202559,-0.16337023597528927,0.030254757055586494,-0.0889359968507237,0.20072186109052617,0.011368975575673809,0.07131871394742195,-0.1160486039570321,-0.0422807765999856,-0.1165460911550954,-0.045785324922161016,0.05054410125066126,1.0,0.24002000202595994,-0.04183793240919807,0.04070467368763132,-0.019924571364452782
text_present,0.06475677319305154,-0.12307053664310125,0.05550378299716842,0.09520490152381003,-0.1152987626292852,0.17796412427207578,-0.1497244912824625,-0.13202454628889942,-0.07197579989693076,-0.15345325358867387,-0.12089104356457016,0.027545426485150223,-0.03498516280265463,-0.11279847218738534,-0.11243408781709562,-0.021248251807524914,0.07162916783577174,0.46160344592949804,0.24002000202595994,1.0,-0.006717095852901146,-0.13988598808206557,-0.05993316771473155
tempo,0.021449610285197155,0.0027674504151722354,-0.08217954282720359,0.040458011079579935,0.029767546896755127,0.054550185410075454,-0.08469327819554563,0.044529574484297084,-0.02400598685614645,0.013691712006347464,-0.11462503910235623,0.0244820526800818,-0.027047520345248155,0.1080065698789528,-0.02109999566280461,0.07312246077545978,0.07381884740371054,0.002485310571629392,-0.04183793240919807,-0.006717095852901146,1.0,-0.08985656009405042,-0.017235838834658353
f0_mean,0.06350779821409584,0.08670568741180586,0.051910510398982854,-0.13195031041322566,0.024434654819236845,-0.11169251244687368,0.04875263453523481,0.006277782588886106,0.28277483585217694,0.15922191980760633,0.143626303995657,0.08969033112827941,0.04144818056873766,0.011535642340737414,-0.03730075575007231,-0.06570399905306532,-0.02847647637725813,-0.07730281792142471,0.04070467368763132,-0.13988598808206557,-0.08985656009405042,1.0,0.5815340797835427
f0_var,0.09771389858611504,-0.0171543372326425,0.023375438551787305,0.009313372239456025,0.002401582131166776,0.0032039550852826972,0.05686909297365313,0.058411552079095395,0.19852236377308058,0.12286830768067677,0.04866472348997944,0.06164996411560177,0.026561920867538193,0.023763973813624786,-0.05210300885873756,0.02128626588733883,0.02366331002285751,0.01620412775650219,-0.019924571364452782,-0.05993316771473155,-0.017235838834658353,0.5815340797835427,1.0
